Roll_Number,Student_Name,Course_Code,Department,Semester,Academic_Year,Date_of_Birth,Gender,Father_Name,Mother_Name,Parent_Mobile,Parent_Email,Student_Mobile,Student_Email,Address,Blood_Group,Category,Admission_Date,Fee_Status,Hostel_Required
VVC2024CSE001,Aarav Kumar,BTECH-CSE,CSE,I,2024-2025,2003-05-15,Male,Rajesh Kumar,Sunita Kumar,+91-9876543210,rajesh.k@gmail.com,+91-8765432101,aarav.kumar@vivekvardhini.edu.in,"123 MG Road, Hyderabad, Telangana - 500001",O+,General,2024-07-15,Paid,Yes
VVC2024CSE002,Aditi Patel,BTECH-CSE,CSE,III,2023-2024,2004-08-22,Female,Suresh Patel,Priya Patel,+91-9876543211,suresh.p@gmail.com,+91-8765432102,aditi.patel@vivekvardhini.edu.in,"456 Tank Bund, Hyderabad, Telangana - 500002",A+,OBC,2023-07-15,Paid,No
VVC2024ECE003,Arjun Singh,BTECH-ECE,ECE,II,2024-2025,2003-03-10,Male,Vikram Singh,Meera Singh,+91-9876543212,vikram.s@gmail.com,+91-8765432103,arjun.singh@vivekvardhini.edu.in,"789 Banjara Hills, Hyderabad, Telangana - 500034",B+,SC,2024-07-15,Pending,Yes
VVC2024MECH004,Anaya Gupta,BTECH-MECH,MECH,IV,2022-2023,2002-11-07,Female,Amit Gupta,Kavita Gupta,+91-9876543213,amit.g@gmail.com,+91-8765432104,anaya.gupta@vivekvardhini.edu.in,"321 Jubilee Hills, Hyderabad, Telangana - 500033",AB+,ST,2022-07-15,Paid,Yes
VVC2024CIVIL005,Bhavya Sharma,BTECH-CIVIL,CIVIL,V,2021-2022,2001-01-18,Female,Deepak Sharma,Rekha Sharma,+91-9876543214,deepak.s@gmail.com,+91-8765432105,bhavya.sharma@vivekvardhini.edu.in,"654 Madhapur, Hyderabad, Telangana - 500081",O-,General,2021-07-15,Paid,No
VVC2024COMM006,Chetan Reddy,BCOM,COMM,VI,2020-2021,2000-12-25,Male,Ravi Reddy,Lakshmi Reddy,+91-9876543215,ravi.r@gmail.com,+91-8765432106,chetan.reddy@vivekvardhini.edu.in,"987 Kondapur, Hyderabad, Telangana - 500084",A-,OBC,2020-07-15,Paid,Yes
VVC2024ARTS007,Divya Nair,BA,ARTS,II,2024-2025,2003-09-14,Female,Sanjay Nair,Divya Nair,+91-9876543216,sanjay.n@gmail.com,+91-8765432107,divya.nair@vivekvardhini.edu.in,"147 Gachibowli, Hyderabad, Telangana - 500032",B-,SC,2024-07-15,Pending,No
VVC2024CSE008,Eshaan Joshi,BTECH-CSE,CSE,I,2024-2025,2003-07-08,Male,Manoj Joshi,Geeta Joshi,+91-9876543217,manoj.j@gmail.com,+91-8765432108,eshaan.joshi@vivekvardhini.edu.in,"258 Kukatpally, Hyderabad, Telangana - 500072",AB-,General,2024-07-15,Paid,Yes
VVC2024ECE009,Fatima Khan,BTECH-ECE,ECE,III,2023-2024,2004-04-12,Female,Abdul Khan,Ayesha Khan,+91-9876543218,abdul.k@gmail.com,+91-8765432109,fatima.khan@vivekvardhini.edu.in,"369 Miyapur, Hyderabad, Telangana - 500049",O+,OBC,2023-07-15,Paid,No
VVC2024MECH010,Gaurav Mehta,BTECH-MECH,MECH,IV,2022-2023,2002-10-30,Male,Ramesh Mehta,Sita Mehta,+91-9876543219,ramesh.m@gmail.com,+91-8765432110,gaurav.mehta@vivekvardhini.edu.in,"741 Begumpet, Hyderabad, Telangana - 500016",A+,General,2022-07-15,Pending,Yes
